Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades;
MONCLOA-ARAVACA;09;Sophora japonica;2732;
MONCLOA-ARAVACA;09;Ulmus pumila;2310;
MONCLOA-ARAVACA;09;Pinus pinea;1930;
MONCLOA-ARAVACA;09;Acer negundo;1854;
MONCLOA-ARAVACA;09;Cupressus sempervirens;1353;
MONCLOA-ARAVACA;09;Robinia pseudoacacia;1273;
MONCLOA-ARAVACA;09;Catalpa bignonioides;979;
MONCLOA-ARAVACA;09;Ligustrum japonicum;905;
MONCLOA-ARAVACA;09;Celtis australis;874;
MONCLOA-ARAVACA;09;Cupressus arizonica;804;
MONCLOA-ARAVACA;09;Prunus cerasifera subsp. Pissartii;660;
MONCLOA-ARAVACA;09;Otros;12318;
;;Total;33392;
LATINA;10;Platanus x hybrida;5319;
LATINA;10;Ulmus pumila;4253;
LATINA;10;Pinus pinea;2617;
LATINA;10;Robinia pseudoacacia;1980;
LATINA;10;Celtis australis;1750;
LATINA;10;Prunus cerasifera subsp. Pissartii;1665;
LATINA;10;Sophora japonica;1538;
LATINA;10;Ligustrum japonicum;1141;
LATINA;10;Acer negundo;1055;
LATINA;10;Cupressus sempervirens;986;
LATINA;10;Aesculus hippocastanum;950;
LATINA;10;Otros;14283;
;;Total;37537;
CARABANCHEL;11;Platanus x hybrida;7506;
CARABANCHEL;11;Pinus pinea;4293;
CARABANCHEL;11;Ulmus pumila;2803;
CARABANCHEL;11;Sophora japonica;2683;
CARABANCHEL;11;Robinia pseudoacacia;2295;
CARABANCHEL;11;Celtis australis;1951;
CARABANCHEL;11;Acer negundo;1583;
CARABANCHEL;11;Gleditsia triacanthos;1392;
CARABANCHEL;11;Aesculus hippocastanum;992;
CARABANCHEL;11;Cupressus sempervirens;948;
CARABANCHEL;11;Ligustrum japonicum;923;
CARABANCHEL;11;Melia azedarach;774;
CARABANCHEL;11;Otros;13214;
;;Total;41357;
USERA;12;Platanus x hybrida;5066;
USERA;12;Ulmus pumila;3788;
USERA;12;Pinus pinea;2115;
USERA;12;Robinia pseudoacacia;2099;
USERA;12;Celtis australis;1346;
USERA;12;Sophora japonica;1280;
USERA;12;Acer negundo;1214;
USERA;12;Cedrus deodara;770;
USERA;12;Melia azedarach;715;
USERA;12;Prunus cerasifera;670;
USERA;12;Populus alba;649;
USERA;12;Platanus orientalis;599;
USERA;12;Otros;11394;
;;Total;31705;
PUENTE DE VALLECAS;13;Platanus x hybrida;4609;
PUENTE DE VALLECAS;13;Platanus orientalis;4401;
PUENTE DE VALLECAS;13;Robinia pseudoacacia;3552;
PUENTE DE VALLECAS;13;Sophora japonica;3268;
PUENTE DE VALLECAS;13;Ulmus pumila;3076;
PUENTE DE VALLECAS;13;Pinus pinea;2536;
PUENTE DE VALLECAS;13;Acer negundo;2297;
PUENTE DE VALLECAS;13;Ligustrum japonicum;2122;
PUENTE DE VALLECAS;13;Catalpa bignonioides;1196;
PUENTE DE VALLECAS;13;Celtis australis;1182;
PUENTE DE VALLECAS;13;Prunus cerasifera subsp. Pissartii;1119;
PUENTE DE VALLECAS;13;Acer pseudoplatanus;1004;
PUENTE DE VALLECAS;13;Otros;14937;
;;Total;45299;
MORATALAZ;14;Ulmus pumila;5689;
MORATALAZ;14;Platanus x hybrida;2020;
MORATALAZ;14;Pinus pinea;1941;
MORATALAZ;14;Celtis australis;1500;
MORATALAZ;14;Acer negundo;1290;
MORATALAZ;14;Platanus orientalis;1096;
MORATALAZ;14;Prunus cerasifera subsp. Pissartii;776;
MORATALAZ;14;Melia azedarach;573;
MORATALAZ;14;Catalpa bignonioides;572;
